Area,County,CancerType,Sex,AgeAdjustedRate,CaseCount,Population
Indiana,Boone County,Female Breast,Female,127.7,225,155557
Indiana,Putnam County,Female Breast,Female,121.2,135,88481
Indiana,Knox County,Female Breast,Female,141.6,179,93442
Indiana,Franklin County,Female Breast,Female,130.2,94,57166
Indiana,Fountain County,Female Breast,Female,155.5,90,41913
Indiana,Fulton County,Female Breast,Female,119.4,81,51222
Indiana,Floyd County,Female Breast,Female,132,316,196055
Indiana,Hamilton County,Female Breast,Female,146.4,1162,774393
Indiana,Hancock County,Female Breast,Female,129.2,286,182776
Indiana,Dearborn County,Female Breast,Female,125.1,199,124540
Indiana,Harrison County,Female Breast,Female,125,158,98291
Indiana,Hendricks County,Female Breast,Female,142.6,621,388875
Indiana,Elkhart County,Female Breast,Female,111,624,509747
Indiana,Dubois County,Female Breast,Female,124.2,162,106695
Indiana,Jay County,Female Breast,Female,111.4,75,53577
Indiana,Jennings County,Female Breast,Female,110.5,98,69685
Indiana,Johnson County,Female Breast,Female,120.2,509,373498
Indiana,Newton County,Female Breast,Female,118.1,55,34539
Indiana,Noble County,Female Breast,Female,119.6,166,118324
Indiana,Jasper County,Female Breast,Female,116.8,118,84067
Indiana,Morgan County,Female Breast,Female,149.8,323,175150
Indiana,St. Joseph County,Female Breast,Female,117.8,942,688712
Indiana,Jefferson County,Female Breast,Female,109.8,121,83961
Indiana,Rush County,Female Breast,Female,146.8,83,42885
Indiana,Allen County,Female Breast,Female,121.9,1257,935427
Michigan,Presque Isle County,Female Breast,Female,75.8,48,32332
Michigan,Barry County,Female Breast,Female,81.8,161,147529
Michigan,Iron County,Female Breast,Female,85.9,41,28800
Michigan,Crawford County,Female Breast,Female,82.5,42,34316
Michigan,Kalkaska County,Female Breast,Female,82.2,48,42326
Michigan,Mason County,Female Breast,Female,81.9,87,72163
Michigan,Baraga County,Female Breast,Female,89.6,23,19456
Michigan,Lake County,Female Breast,Female,86.1,43,28197
Michigan,Newaygo County,Female Breast,Female,89.8,147,119017
Michigan,Alcona County,Female Breast,Female,89.4,52,25934
Michigan,Allegan County,Female Breast,Female,91.9,319,283660
Michigan,Cass County,Female Breast,Female,88.1,151,128657
Michigan,Branch County,Female Breast,Female,88.7,123,105679
Michigan,Ontonagon County,Female Breast,Female,87.4,29,15093
Michigan,Luce County,Female Breast,Female,93.2,19,13398
Michigan,Chippewa County,Female Breast,Female,101.8,106,85778
Michigan,Iosco County,Female Breast,Female,95.5,116,63850
Michigan,Clinton County,Female Breast,Female,99.8,239,194294
Michigan,Montcalm County,Female Breast,Female,102.5,199,152124
Michigan,Monroe County,Female Breast,Female,101.9,492,379315
Michigan,Leelanau County,Female Breast,Female,104.5,92,54539
Michigan,Lapeer County,Female Breast,Female,106.4,306,217917
Michigan,Isabella County,Female Breast,Female,92.3,150,181180
Michigan,Mackinac County,Female Breast,Female,106.2,45,26662
Michigan,Calhoun County,Female Breast,Female,107.1,453,343947
Michigan,Houghton County,Female Breast,Female,106.5,104,83493
Michigan,Mecosta County,Female Breast,Female,99.7,131,107631
Michigan,Ogemaw County,Female Breast,Female,100.9,95,53074
Michigan,Schoolcraft County,Female Breast,Female,103.6,33,20762
Michigan,Oscoda County,Female Breast,Female,104.2,27,20549
Michigan,Livingston County,Female Breast,Female,115.1,673,463169
Michigan,Cheboygan County,Female Breast,Female,117.6,126,64016
Michigan,Antrim County,Female Breast,Female,119.2,111,58169
Michigan,Huron County,Female Breast,Female,122.1,155,80501
Michigan,Ionia County,Female Breast,Female,120,207,148306
Michigan,Midland County,Female Breast,Female,121.6,335,212119
Michigan,Berrien County,Female Breast,Female,122,654,396927
Michigan,Charlevoix County,Female Breast,Female,117.7,112,66171
Michigan,Missaukee County,Female Breast,Female,115.2,64,36778
Michigan,Kalamazoo County,Female Breast,Female,116.1,826,658386
Michigan,Oakland County,Female Breast,Female,135.5,5419,3172697
Michigan,Arenac County,Female Breast,Female,143.7,81,37854
Michigan,Ingham County,Female Breast,Female,126.8,935,731844
Michigan,Genesee County,Female Breast,Female,131.1,1738,1068829
Michigan,Clare County,Female Breast,Female,154.7,168,76602
Michigan,Keweenaw County,Female Breast,Female,Data Suppressed,Data Suppressed,5189
Michigan,Kent County,Female Breast,Female,131,2258,1599929
Michigan,Montmorency County,Female Breast,Female,127.4,55,22998
Michigan,Jackson County,Female Breast,Female,119.2,601,389011
Michigan,Muskegon County,Female Breast,Female,126.1,682,433137
Michigan,Lenawee County,Female Breast,Female,127.1,414,243673
Michigan,Emmet County,Female Breast,Female,108,132,83336
Michigan,Delta County,Female Breast,Female,111.9,160,92105
Michigan,Dickinson County,Female Breast,Female,129.2,117,64786
Michigan,Eaton County,Female Breast,Female,126.6,453,276915
